name_of_drug,use_case_for_drug,effectiveness_rating,number_of_times_prescribed,positive,negative,neutral,compound,base_score
Valsartan,Left Ventricular Dysfunction,9,27,0.0,0.136,0.864,-0.296,8.022968937262847
Guanfacine,ADHD,8,192,0.09,0.018,0.892,0.8603,7.858458140232939
Lybrel,Birth Control,5,17,0.078,0.038,0.884,0.7645,6.3419694680937875
Buprenorphine / naloxone,Opiate Dependence,9,37,0.178,0.064,0.758,0.9403,6.590175893363125
Cialis,Benign Prostatic Hyperplasia,2,43,0.08,0.169,0.751,-0.4342,6.144781897658403
Ethinyl estradiol / levonorgestrel,Birth Control,8,1,0.156,0.202,0.642,-0.901,5.691791949528471
L-methylfolate,Depression,10,54,0.212,0.221,0.567,0.0147,8.563274491655593
Amitriptyline,ibromyalgia,9,39,0.079,0.119,0.802,-0.752,7.301039252524406
Lamotrigine,Bipolar Disorde,10,18,0.056,0.104,0.84,-0.706,6.633970466631683
Atripla,HIV Infection,8,11,0.128,0.068,0.804,0.7243,6.562115937095545
Etanercept,Rheumatoid Arthritis,10,4,0.108,0.079,0.813,0.7425,8.358950719271757
Sertraline,Depression,8,3,0.077,0.027,0.896,0.5423,7.927925645495847
Trilafon,Psychosis,9,45,0.193,0.051,0.756,0.8747,6.941455322987079
Fluconazole,Vaginal Yeast Infection,8,9,0.094,0.126,0.78,-0.296,7.828314657173991
Clonazepam,Panic Disorde,9,30,0.024,0.137,0.84,-0.73,7.4518668764055755
Metaxalone,Muscle Spasm,5,55,0.124,0.148,0.727,0.0516,5.850893817031193
Venlafaxine,Depression,4,3,0.122,0.134,0.744,-0.5862,8.58780655657903
Ledipasvir / sofosbuvir,Hepatitis C,9,94,0.178,0.048,0.775,0.8977,6.276200625767022
Symbyax,Bipolar Disorde,8,22,0.19,0.327,0.484,-0.5267,7.94042769749102
Buprenorphine,Pain,8,125,0.114,0.148,0.738,-0.2944,5.241427801845822
NuvaRing,Birth Control,5,9,0.051,0.175,0.774,-0.9556,7.282126707776135
Prepopik,Bowel Preparation,9,6,0.065,0.044,0.891,0.6068,6.290834689334499
Effexor XR,Depression,10,166,0.168,0.089,0.742,0.8112,8.616149168978831
Clomiphene,emale Infertility,10,74,0.068,0.075,0.857,0.3711,7.323018196415763
Amitiza,"Constipation, Drug Induced",10,35,0.242,0.067,0.691,0.9659,8.648336695522234
Ledipasvir / sofosbuvir,Hepatitis C,10,36,0.078,0.109,0.813,-0.203,7.715255946986692
Lithium,Bipolar Disorde,10,27,0.082,0.09,0.828,-0.1801,7.921906947449914
Augmentin XR,Skin and Structure Infection,9,37,0.143,0.045,0.812,0.9343,6.590175893363125
Monistat 7-Day Combination Pack,Vaginal Yeast Infection,8,5,0.064,0.111,0.825,-0.7849,6.124057251494149
Spironolactone,Acne,9,31,0.101,0.089,0.81,0.3678,6.361917241451971
Adapalene / benzoyl peroxide,Acne,8,12,0.258,0.023,0.719,0.9404,5.1337406888149335
Amlodipine / olmesartan,High Blood Pressure,10,10,0.183,0.066,0.751,0.5994,8.574485878929147
Lamictal,Bipolar Disorde,9,46,0.146,0.073,0.781,0.5975,8.193933690074541
Propranolol,Anxiety,10,40,0.144,0.179,0.677,-0.5577,8.37458833025563
Phentermine / topiramate,Obesity,9,22,0.078,0.138,0.784,-0.6103,8.853339021798474
Medroxyprogesterone,Endometriosis,9,51,0.206,0.106,0.688,0.9305,6.625022331454983
Aczone,Acne,8,7,0.143,0.084,0.774,0.8218,5.305232108701494
Restasis,Keratoconjunctivitis Sicca,9,40,0.086,0.09,0.824,-0.1423,8.472801793248562
Epiduo,Acne,10,34,0.098,0.133,0.769,-0.5644,8.585381211066728
Dulaglutide,"Diabetes, Type 2",9,12,0.077,0.152,0.772,-0.8864,6.471278979163006
Morphine,Chronic Pain,5,54,0.0,0.128,0.872,-0.9317,7.168085662561313
Ethinyl estradiol / norgestimate,Birth Control,5,4,0.104,0.138,0.758,-0.0818,6.916893730093862
Nexplanon,Birth Control,4,4,0.0,0.196,0.804,-0.946,8.182756085676182
Etonogestrel,Birth Control,9,104,0.03,0.096,0.874,-0.4215,8.793774570550756
Camphor / menthol,Pain,1,0,0.126,0.219,0.655,-0.8136,3.054420106447377
Lupron Depot,Endometriosis,6,8,0.023,0.147,0.83,-0.9219,4.878733980113638
Lurasidone,Bipolar Disorde,7,36,0.036,0.104,0.86,-0.8776,5.248460510694606
Diflucan,Vaginal Yeast Infection,10,55,0.389,0.0,0.611,0.4902,7.521367267772852
Lisinopril,High Blood Pressure,10,55,0.126,0.168,0.706,-0.4374,7.521367267772852
Alprazolam,Anxiety,10,4,0.0,0.0,1.0,0.0,8.358950719271757
Leuprolide,Uterine Fibroids,1,16,0.018,0.103,0.878,-0.8225,7.003408356848098
Provera,4</span> users found this comment helpful.,1,4,0.05,0.197,0.753,-0.9741,6.548256302136768
Eletriptan,Migraine,10,8,0.0,0.057,0.943,-0.1759,7.737592628105482
Fluoxetine,Depression,8,5,0.049,0.195,0.757,-0.9482,6.124057251494149
Ethinyl estradiol / norethindrone,Birth Control,1,4,0.107,0.187,0.706,-0.9002,6.548256302136768
Liraglutide,"Diabetes, Type 2",10,6,0.038,0.029,0.934,0.25,6.1731344641759245
Escitalopram,Anxiety,10,11,0.064,0.14,0.795,-0.6705,7.544492890288928
Qsymia,Weight Loss,9,46,0.134,0.073,0.794,0.7033,8.193933690074541
Liraglutide,"Diabetes, Type 2",10,13,0.144,0.094,0.761,0.8636,6.256623555456827
Zoloft,Panic Disorde,9,17,0.063,0.212,0.726,-0.9325,8.001996457056773
Liletta,Birth Control,9,6,0.141,0.088,0.772,0.5833,6.290834689334499
Exenatide,"Diabetes, Type 2",6,34,0.065,0.105,0.83,-0.6016,6.157501692620144
Paroxetine,Trichotillomania,10,15,0.065,0.098,0.837,-0.1878,8.482883456649951
Contrave,Obesity,8,0,0.186,0.094,0.72,0.9162,4.821588697606812
Acetaminophen / oxycodone,Chronic Pain,6,0,0.21,0.068,0.722,0.7096,0.899075571349414
Pramipexole,Restless Legs Syndrome,9,28,0.053,0.057,0.89,-0.0825,8.811472745889803
Ethinyl estradiol / norgestimate,Birth Control,1,24,0.014,0.102,0.884,-0.7855,4.583896423265005
Ethinyl estradiol / norgestimate,Birth Control,7,7,0.241,0.129,0.63,0.6293,3.14878389340544
Celecoxib,Pain,10,105,0.151,0.129,0.72,0.4621,7.85806883449906
Escitalopram,Depression,8,376,0.236,0.069,0.694,0.9822,5.678748493549137
Venlafaxine,Depression,1,14,0.0,0.0,1.0,0.0,5.1811107983024085
Lansoprazole,Barrett's Esophagus,10,20,0.0,0.239,0.761,-0.5256,6.998161370910088
Azithromycin,Bronchitis,10,34,0.114,0.095,0.791,0.1881,8.585381211066728
Ethinyl estradiol / levonorgestrel,Birth Control,3,3,0.048,0.0,0.952,0.3182,8.981228211240314
Levora,Birth Control,9,1,0.033,0.052,0.915,-0.4947,6.920059185010526
ParaGard,Birth Control,9,12,0.129,0.079,0.792,0.8368,6.471278979163006
Ciprofloxacin,Diverticulitis,8,78,0.089,0.231,0.68,-0.6523,7.760232446121669
Avelox,Sinusitis,3,17,0.1,0.04,0.86,0.6378,8.136022803300202
Contrave,Obesity,9,40,0.286,0.0,0.714,0.9585,8.472801793248562
Levonorgestrel,Birth Control,10,2,0.114,0.074,0.813,0.7114,8.074493292790843
Tamiflu,Influenza,10,5,0.101,0.08,0.819,0.3612,7.170997223562014
ParaGard,Birth Control,10,14,0.112,0.044,0.844,0.8225,7.369878171891573
Leuprolide,Endometriosis,8,32,0.052,0.132,0.815,-0.8765,5.152374112686672
Bupropion / naltrexone,Obesity,9,37,0.131,0.078,0.791,0.7873,6.590175893363125
Sertraline,Anxiety and Stress,10,100,0.197,0.116,0.687,0.8977,6.327209850132568
Medroxyprogesterone,Abnormal Uterine Bleeding,7,41,0.034,0.072,0.894,-0.6908,6.687912738182168
Tamsulosin,Benign Prostatic Hyperplasia,8,9,0.18,0.0,0.82,0.6187,7.828314657173991
Testim,"Hypogonadism, Male",7,22,0.189,0.161,0.65,0.1128,6.706752154114658
Escitalopram,Depression,10,81,0.111,0.219,0.669,-0.9336,6.459031227866224
Orthovisc,Osteoarthritis,8,30,0.162,0.143,0.694,0.4772,6.330843099822558
Naltrexone,Opiate Dependence,10,88,0.094,0.194,0.712,-0.9523,6.11031604227956
Lamotrigine,Bipolar Disorde,8,16,0.161,0.102,0.737,0.8109,7.887237930752728
Mirtazapine,Insomnia,8,37,0.132,0.108,0.76,0.3752,5.283595657658187
Epiduo,Acne,10,19,0.07,0.128,0.802,-0.8392,6.127475169414972
Etonogestrel,Birth Control,8,1,0.106,0.08,0.814,0.4587,5.691791949528471
Aripiprazole,Autism,10,141,0.105,0.018,0.877,0.8357,8.680175180149037
Varenicline,Smoking Cessation,10,26,0.488,0.0,0.512,0.9241,6.653815670753763
Clindamycin,Surgical Prophylaxis,1,4,0.0,0.184,0.816,-0.3818,6.548256302136768
Infliximab,Psoriatic Arthritis,10,20,0.087,0.089,0.824,0.4471,6.998161370910088
Immune globulin oral,Irritable Bowel Syndrome,10,15,0.075,0.045,0.88,0.4767,8.482883456649951
Levonorgestrel,Emergency Contraception,10,9,0.196,0.053,0.751,0.9337,8.656796740464273
Zofran,Nausea/Vomiting,10,13,0.108,0.158,0.734,-0.3164,6.256623555456827
Versed,Light Anesthesia,1,16,0.133,0.054,0.813,0.9293,7.003408356848098
Cipro,Urinary Tract Infection,10,69,0.076,0.228,0.695,-0.6988,6.119944671202277
Morphine,Chronic Pain,10,43,0.0,0.444,0.556,-0.1531,6.788244820250587
Risperdal,Paranoid Disorde,1,11,0.115,0.207,0.679,-0.6542,5.433997586477339
Ocella,Birth Control,9,3,0.092,0.0,0.908,0.7003,8.842186219376321
Ethinyl estradiol / norelgestromin,Birth Control,1,6,0.0,0.134,0.866,-0.7096,3.1839555369340493
Benztropine,Extrapyramidal Reaction,3,48,0.0,0.0,1.0,0.0,8.577983573760061
Sumatriptan,Migraine,1,9,0.116,0.252,0.631,-0.9773,6.935684111767527
Polyethylene glycol 3350,Constipation,10,58,0.094,0.211,0.694,-0.9232,7.393285995684158
Atarax,Anxiety,8,60,0.092,0.084,0.824,0.0992,7.880615951005037
Orsythia,Birth Control,8,2,0.076,0.141,0.783,-0.402,7.171574816814388
Ethinyl estradiol / norethindrone,Birth Control,3,5,0.044,0.111,0.845,-0.8251,7.408418703059745
Carbamazepine,Epilepsy,9,2,0.0,0.079,0.921,-0.5859,8.174543577159849
Methylphenidate,ADHD,10,72,0.187,0.0,0.813,0.9497,8.720363418607702
Metronidazole,Clostridial Infection,6,13,0.077,0.169,0.754,-0.9428,1.6328394295287592
Accutane,Acne,9,25,0.157,0.039,0.804,0.9583,6.241811744290402
Opana,Pain,10,14,0.066,0.303,0.631,-0.784,7.369878171891573
Chantix,Smoking Cessation,10,16,0.126,0.148,0.726,-0.5229,8.709532579215772
Uribel,Urinary Tract Infection,5,3,0.034,0.118,0.847,-0.8302,7.390379335933776
Propranolol,Benign Essential Trem,8,33,0.072,0.142,0.786,-0.7339,6.588905432949381
Accutane,Acne,8,23,0.109,0.123,0.769,0.2357,7.331694342495978
Trulicity,"Diabetes, Type 2",3,17,0.071,0.112,0.817,-0.4318,8.136022803300202
Sulfamethoxazole / trimethoprim,Urinary Tract Infection,1,1,0.085,0.235,0.68,-0.9485,4.319273404069607
Ambien,Insomnia,10,72,0.101,0.116,0.783,-0.2936,8.720363418607702
Retapamulin,Impetig,8,7,0.147,0.141,0.712,0.0689,5.305232108701494
Diflucan,Vaginal Yeast Infection,10,114,0.56,0.0,0.44,0.6249,6.694217494283552
Vigamox,"Conjunctivitis, Bacterial",7,1,0.034,0.057,0.909,-0.2495,3.7663548709513903
Daytrana,ADHD,9,24,0.105,0.154,0.741,-0.6961,7.084225295181232
Linaclotide,"Constipation, Chronic",1,26,0.074,0.162,0.765,-0.4588,4.061158527302301
Duloxetine,Depression,10,32,0.073,0.147,0.779,-0.5148,6.370760113378997
Cefdinir,Sinusitis,1,14,0.072,0.142,0.786,-0.6562,5.1811107983024085
Tecfidera,Multiple Sclerosis,9,23,0.065,0.0,0.935,0.2732,8.31464585548871
Acetaminophen / dichloralphenazone / isometheptene mucate,Headache,10,2,0.073,0.037,0.89,0.564,8.074493292790843
Escitalopram,Obsessive Compulsive Disorde,8,8,0.148,0.059,0.792,0.9128,6.785657415594868
Levonorgestrel,Birth Control,9,2,0.093,0.064,0.843,0.3682,8.174543577159849
Ketorolac,Pain,10,9,0.037,0.16,0.802,-0.8675,8.656796740464273
Fluoxetine,Anxiety and Stress,10,173,0.08,0.236,0.684,-0.9782,8.731953167521059
Nystatin,Oral Thrush,8,28,0.063,0.056,0.881,-0.1333,7.893476027714112
Diphenhydramine,Insomnia,8,6,0.131,0.113,0.756,0.1901,4.903100820083972
Zolmitriptan,Migraine,8,0,0.073,0.196,0.731,-0.9034,4.821588697606812
Ethinyl estradiol / norelgestromin,Birth Control,3,0,0.228,0.0,0.772,0.8885,6.35504055965443
Levothyroxine,Underactive Thyroid,10,77,0.122,0.14,0.738,-0.0935,7.590530973829383
Duloxetine,ibromyalgia,8,29,0.179,0.066,0.755,0.8852,7.618207227983737
Etonogestrel,Birth Control,7,3,0.096,0.143,0.761,-0.7537,6.691877439202008
Plan B One-Step,Emergency Contraception,10,25,0.082,0.13,0.789,-0.4626,6.1234614690910565
Minocycline,Acne,9,30,0.255,0.0,0.745,0.6249,7.4518668764055755
Nortriptyline,Irritable Bowel Syndrome,10,80,0.092,0.028,0.881,0.7964,7.6928031082515345
Azithromycin,Bacterial Infection,1,10,0.0,0.282,0.718,-0.9032,6.8294758571584
Armour Thyroid,"Hypothyroidism, After Thyroid Removal",10,82,0.136,0.049,0.816,0.7845,6.189839516076825
Venlafaxine,Depression,9,1,0.149,0.131,0.72,0.0859,6.920059185010526
Methadone,Pain,10,91,0.13,0.092,0.778,0.4153,8.75091284800748
Drospirenone / ethinyl estradiol,Acne,4,2,0.049,0.343,0.608,-0.9386,7.884224520147357
Rozerem,Insomnia,1,68,0.025,0.155,0.82,-0.8415,4.5484303093615415
Cialis,Erectile Dysfunction,10,92,0.0,0.221,0.779,-0.9807,8.326866139273847
Ethinyl estradiol / norethindrone,Birth Control,10,3,0.235,0.044,0.721,0.9215,8.745991303284766
Soma,Muscle Spasm,10,34,0.084,0.236,0.68,-0.7088,8.585381211066728
Ortho Evra,Birth Control,10,6,0.048,0.033,0.919,0.483,6.1731344641759245
Drospirenone / ethinyl estradiol,Acne,10,11,0.088,0.095,0.817,0.3976,7.544492890288928
Bisacodyl,Bowel Preparation,6,8,0.046,0.172,0.781,-0.8653,4.878733980113638
Sprintec,Birth Control,9,9,0.084,0.037,0.879,0.7453,8.753452412523746
Hydroxychloroquine,Systemic Lupus Erythematosus,10,74,0.124,0.17,0.706,-0.1511,7.323018196415763
Orlistat,Obesity,1,18,0.049,0.136,0.814,-0.9236,4.027554327116556
Tretinoin,Acne,9,13,0.232,0.0,0.768,0.9804,6.3732589822241685
Ethinyl estradiol / norethindrone,Birth Control,7,1,0.128,0.089,0.782,0.5308,3.7663548709513903
Clonazepam,Panic Disorde,10,8,0.115,0.182,0.703,-0.4939,7.737592628105482
Vicodin,Pain,9,134,0.107,0.061,0.832,0.3597,8.232082344031909
Strattera,ADHD,5,15,0.103,0.128,0.769,-0.079,7.069598344199332
Relafen,Back Pain,1,30,0.0,0.582,0.418,-0.6765,5.1467046914376215
Sharobel,Birth Control,10,1,0.188,0.0,0.812,0.6588,6.80968357898411
Hydroxyzine,Anxiety,7,129,0.122,0.215,0.663,-0.9179,6.678588387134298
Lithium,Bipolar Disorde,10,19,0.136,0.205,0.658,-0.9194,6.127475169414972
Aripiprazole,Bipolar Disorde,7,14,0.127,0.042,0.831,0.8995,4.717421631941732
Docusate,Constipation,5,5,0.0,0.189,0.811,-0.1027,5.381957142457769
Venlafaxine,Depression,9,6,0.184,0.099,0.717,0.9224,6.290834689334499
Thyroid desiccated,TSH Suppression,10,32,0.296,0.0,0.704,0.2732,6.370760113378997
Glatiramer,Multiple Sclerosis,4,7,0.0,0.094,0.906,-0.5451,6.207302708748353
Epiduo,Acne,8,3,0.17,0.107,0.723,0.7416,7.927925645495847
